item,Item-number,Unit-price,quantity,manufacturer,Item-type,description,date,Bought-in
Coaxial-cable,884164,7.38,1,UltraPro,cable,"15ft coaxial cable, white",02-01-2022,lowes
cup hook,282666,2.38,1,hillman,wall fixture,7/8 in cup hooks,02-01-2022,lowes
tube mailer,578184,14.89,1,Office-depot,mailer,3ftx36in tube mailer,02-01-2022,Office-depot
pen refill,615535,4.99,1,uniball,stationary,blue ball point pen refill,02-01-2022,unibal
water pitcher,,44.99,1,brita,kitchen,10 cup filter water pitcher,02-01-2022,safeway
Ice-tray,,4.49,1,safeway,kitchen,ice tray,02-01-2022,safeway
ziploc quart,,12.99,1,safeway,kitchen,"ziploc feezer bags, 75 count",02-01-2022,safeway
furniture sliders,1620632,5.98,2,3m,furnitture,furniture sliders,02-01-2022,lowes
washer hoses,246995,33.98,1,,plumbing,water plumbing for washer,02-01-2022,lowes
kitchen faucet,2610192,199,1,allen+roth,plumbing,kitchen faucet,02-01-2022,lowes
mesh router,6427176,199.99,1,google,internet,"wifi mesh router, 3",02-01-2022,bestbuy
hood range ,1694184,189,1,broan,kitchen,"hood range, stainless finish",02-06-2022,lowes
dust mop,800014,13.98,1,O-cedar,cleaning,dust mop,02-06-2022,lowes
"dustmop, refil",800015,7.48,1,O-cedar,cleaning,refill for dustmop,02-06-2022,lowes
